"Statistic Label","Year","Digital Service","Geographic Location","UNIT","VALUE"
"Household Expenditure on Digital Services","2020","All Digital Services","Europe","Euro Million","749"
"Household Expenditure on Digital Services","2020","All Digital Services","Ireland","Euro Million","138"
"Household Expenditure on Digital Services","2020","All Digital Services","France","Euro Million","8"
"Household Expenditure on Digital Services","2020","All Digital Services","Germany","Euro Million","28"
"Household Expenditure on Digital Services","2020","All Digital Services","Luxembourg","Euro Million","23"
"Household Expenditure on Digital Services","2020","All Digital Services","Malta","Euro Million","44"
"Household Expenditure on Digital Services","2020","All Digital Services","Netherlands","Euro Million","118"
"Household Expenditure on Digital Services","2020","All Digital Services","United Kingdom","Euro Million","302"
"Household Expenditure on Digital Services","2020","All Digital Services","EMU19","Euro Million","370"
"Household Expenditure on Digital Services","2020","All Digital Services","EU27","Euro Million","437"
"Household Expenditure on Digital Services","2020","All Digital Services","North America","Euro Million","58"
"Household Expenditure on Digital Services","2020","All Digital Services","United States","Euro Million","56"
"Household Expenditure on Digital Services","2020","All Digital Services","Rest of the World","Euro Million","6"
"Household Expenditure on Digital Services","2020","All Digital Services","Not geographically allocated","Euro Million","82"
"Household Expenditure on Digital Services","2020","All Digital Services","All Countries","Euro Million","896"
"Household Expenditure on Digital Services","2020","Music Streaming","Europe","Euro Million","86"
"Household Expenditure on Digital Services","2020","Music Streaming","Ireland","Euro Million","19"
"Household Expenditure on Digital Services","2020","Music Streaming","France","Euro Million","3"
"Household Expenditure on Digital Services","2020","Music Streaming","Germany","Euro Million",""
"Household Expenditure on Digital Services","2020","Music Streaming","Luxembourg","Euro Million",""
"Household Expenditure on Digital Services","2020","Music Streaming","Malta","Euro Million",""
"Household Expenditure on Digital Services","2020","Music Streaming","Netherlands","Euro Million","0"
"Household Expenditure on Digital Services","2020","Music Streaming","United Kingdom","Euro Million","0"
"Household Expenditure on Digital Services","2020","Music Streaming","EMU19","Euro Million",""
"Household Expenditure on Digital Services","2020","Music Streaming","EU27","Euro Million","85"
"Household Expenditure on Digital Services","2020","Music Streaming","North America","Euro Million","2"
"Household Expenditure on Digital Services","2020","Music Streaming","United States","Euro Million","2"
"Household Expenditure on Digital Services","2020","Music Streaming","Rest of the World","Euro Million","0"
"Household Expenditure on Digital Services","2020","Music Streaming","Not geographically allocated","Euro Million","25"
"Household Expenditure on Digital Services","2020","Music Streaming","All Countries","Euro Million","112"
"Household Expenditure on Digital Services","2020","Video Streaming","Europe","Euro Million","202"
"Household Expenditure on Digital Services","2020","Video Streaming","Ireland","Euro Million","6"
"Household Expenditure on Digital Services","2020","Video Streaming","France","Euro Million","0"
"Household Expenditure on Digital Services","2020","Video Streaming","Germany","Euro Million","0"
"Household Expenditure on Digital Services","2020","Video Streaming","Luxembourg","Euro Million",""
"Household Expenditure on Digital Services","2020","Video Streaming","Malta","Euro Million","0"
"Household Expenditure on Digital Services","2020","Video Streaming","Netherlands","Euro Million",""
"Household Expenditure on Digital Services","2020","Video Streaming","United Kingdom","Euro Million","67"
"Household Expenditure on Digital Services","2020","Video Streaming","EMU19","Euro Million","135"
"Household Expenditure on Digital Services","2020","Video Streaming","EU27","Euro Million","135"
"Household Expenditure on Digital Services","2020","Video Streaming","North America","Euro Million","9"
"Household Expenditure on Digital Services","2020","Video Streaming","United States","Euro Million","9"
"Household Expenditure on Digital Services","2020","Video Streaming","Rest of the World","Euro Million","0"
"Household Expenditure on Digital Services","2020","Video Streaming","Not geographically allocated","Euro Million","0"
"Household Expenditure on Digital Services","2020","Video Streaming","All Countries","Euro Million","211"
"Household Expenditure on Digital Services","2020","App Store","Europe","Euro Million","94"
"Household Expenditure on Digital Services","2020","App Store","Ireland","Euro Million","94"
"Household Expenditure on Digital Services","2020","App Store","France","Euro Million","0"
"Household Expenditure on Digital Services","2020","App Store","Germany","Euro Million","0"
"Household Expenditure on Digital Services","2020","App Store","Luxembourg","Euro Million",""
"Household Expenditure on Digital Services","2020","App Store","Malta","Euro Million",""
"Household Expenditure on Digital Services","2020","App Store","Netherlands","Euro Million","0"
"Household Expenditure on Digital Services","2020","App Store","United Kingdom","Euro Million","0"
"Household Expenditure on Digital Services","2020","App Store","EMU19","Euro Million","94"
"Household Expenditure on Digital Services","2020","App Store","EU27","Euro Million","94"
